Car Make,Car Model,Price,Fuel Type,Transmission Type,Available Color Variants Count,Available Colors (Detailed),Location Details
Tata,Punch EV Empowered 3.3,₹13.24 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered S 3.3,₹13.45 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered Plus 3.3,₹13.45 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered Plus S 3.3,₹13.76 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Adventure LR 7.2,₹13.99 L,Electric,Automatic,Available in 4 colors,Pristine White (#f2f3f6); Fearless Red (#6f1a1c); Daytona Grey (#303232); Seaweed (#4f5634),N/A
Tata,Punch EV Empowered LR 3.3,₹14.07 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered S LR 3.3,₹14.28 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered Plus LR 3.3,₹14.28 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Adventure S LR 7.2,₹14.30 L,Electric,Automatic,Available in 4 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000)",N/A
Tata,Punch EV Empowered Plus S LR 3.3,₹14.59 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered LR 7.2,₹14.61 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered S LR 7.2,₹14.82 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered Plus LR 7.2,₹14.82 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Punch EV Empowered Plus S LR 7.2,₹15.13 L,Electric,Automatic,Available in 5 colors,"Pristine White with Black Roof (#f2f3f6, #000000); Fearless Red with Black Roof (#6f1a1c, #000000); Daytona Grey with Black Roof (#303232, #000000); Seaweed with Black Roof (#4f5634, #000000); Empowered Oxide with Black Roof (#d0d4cf, #000000)",N/A
Tata,Safari Smart,₹18.12 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Smart (O),₹19.11 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure,₹20.01 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure (O),₹20.59 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure Plus,₹21.98 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure Plus S,₹22.33 L,Diesel,Manual,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure Plus S Dark Edition,₹22.68 L,Diesel,Manual,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Pure Plus AT,₹22.91 L,Diesel,Automatic,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Pure Plus S AT,₹23.08 L,Diesel,Automatic,Available in 2 colors,Lunar Slate (#38393b); Stellar Frost (#fefefe),N/A
Tata,Safari Adventure,₹23.08 L,Diesel,Manual,Available in 4 colors,Stellar Frost (#fefefe); Stardust Ash (#6c7379); Galactic Sapphire (#0061aa); Supernova Copper (#ca7f6a),N/A
Tata,Safari Pure Plus S Dark Edition AT,₹23.83 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Adventure Plus,₹25.22 L,Diesel,Manual,Available in 4 colors,Stellar Frost (#fefefe); Stardust Ash (#6c7379); Galactic Sapphire (#0061aa); Supernova Copper (#ca7f6a),N/A
Tata,Safari Adventure Plus Dark Edition,₹25.80 L,Diesel,Manual,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Adventure Plus A,₹26.38 L,Diesel,Manual,Available in 4 colors,Stellar Frost (#fefefe); Stardust Ash (#6c7379); Galactic Sapphire (#0061aa); Supernova Copper (#ca7f6a),N/A
Tata,Safari Adventure Plus AT,₹26.84 L,Diesel,Automatic,Available in 4 colors,Stellar Frost (#fefefe); Stardust Ash (#6c7379); Galactic Sapphire (#0061aa); Supernova Copper (#ca7f6a),N/A
Tata,Safari Adventure Plus Dark Edition AT,₹27.42 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished,₹27.79 L,Diesel,Manual,Available in 4 colors,"Cosmic Gold With Black Roof (#caac7c, #000000); Galactic Sapphire With Black Roof (#0061aa, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Adventure Plus A AT,₹28.00 L,Diesel,Automatic,Available in 4 colors,Stellar Frost (#fefefe); Stardust Ash (#6c7379); Galactic Sapphire (#0061aa); Supernova Copper (#ca7f6a),N/A
Tata,Safari Accomplished Dark Edition,₹28.14 L,Diesel,Manual,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Plus,₹29.12 L,Diesel,Manual,Available in 4 colors,"Cosmic Gold With Black Roof (#caac7c, #000000); Galactic Sapphire With Black Roof (#0061aa, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Accomplished Plus 6S,₹29.24 L,Diesel,Manual,Available in 4 colors,"Cosmic Gold With Black Roof (#caac7c, #000000); Galactic Sapphire With Black Roof (#0061aa, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Accomplished AT,₹29.41 L,Diesel,Automatic,Available in 4 colors,"Cosmic Gold With Black Roof (#caac7c, #000000); Galactic Sapphire With Black Roof (#0061aa, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Accomplished Plus Dark Edition,₹29.47 L,Diesel,Manual,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Dark Edition AT,₹29.76 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Plus Dark Edition 6S,₹29.81 L,Diesel,Manual,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Plus Stealth Edition,₹29.99 L,Diesel,Manual,Available in 1 colors,Stealth Black (#15161a),N/A
Tata,Safari Accomplished Plus AT,₹30.74 L,Diesel,Automatic,Available in 4 colors,"Galactic Sapphire With Black Roof (#0061aa, #000000); Cosmic Gold With Black Roof (#caac7c, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Accomplished Plus 6S AT,₹30.86 L,Diesel,Automatic,Available in 4 colors,"Cosmic Gold With Black Roof (#caac7c, #000000); Galactic Sapphire With Black Roof (#0061aa, #000000); Stardust Ash With Black Roof (#6c7379, #000000); Stellar Frost With Black Roof (#fefefe, #000000)",N/A
Tata,Safari Accomplished Plus Dark Edition AT,₹31.32 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Plus Dark Edition 6S AT,₹31.44 L,Diesel,Automatic,Available in 1 colors,Oberon Black (#000000),N/A
Tata,Safari Accomplished Plus Stealth Edition AT,₹31.61 L,Diesel,Automatic,Available in 1 colors,Stealth Black (#15161a),N/A
Tata,Safari Accomplished Plus Stealth Edition 6S AT,₹31.72 L,Diesel,Automatic,Available in 1 colors,Stealth Black (#15161a),N/A
Tata,Curvv 1.2 Pure Plus,₹13.12 L,Petrol,Manual,Available in 4 colors,Pristine White (#fefefe); Opera Blue (#313a72); Flame Red (#6e1618); Daytona Grey (#38393b),N/A
Tata,Curvv 1.5 Smart,₹13.63 L,Diesel,Manual,Available in 2 colors,Daytona Grey (#38393b); Pristine White (#fefefe),N/A
Tata,Curvv 1.2 Pure Plus S,₹13.92 L,Petrol,Manual,Available in 4 colors,Flame Red (#6e1618); Opera Blue (#313a72); Daytona Grey (#38393b); Pristine White (#fefefe),N/A
Tata,Curvv 1.2 Pure Plus S DCA,₹15.60 L,Petrol,Automatic,Available in 4 colors,Daytona Grey (#38393b); Pristine White (#fefefe); Opera Blue (#313a72); Flame Red (#6e1618),N/A
Tata,Curvv 1.2 Creative Plus S,₹16.17 L,Petrol,Manual,Available in 5 colors,"Pristine White with Black roof (#fefefe, #0e0e0e); Nitro Crimson with Black roof (#5c121e, #0e0e0e); Opera Blue with Black roof (#313a72, #0e0e0e); Flame Red with Black roof (#6e1618, #0e0e0e); Pure Grey with Black roof (#aaabb0, #0e0e0e)",N/A
Tata,Curvv 1.2 Creative DCA,₹16.17 L,Petrol,Automatic,Available in 5 colors,Pristine White (#fefefe); Nitro Crimson (#5c121e); Opera Blue (#313a72); Flame Red (#6e1618); Daytona Grey (#38393b),N/A
Tata,Curvv 1.2 Accomplished S,₹17.30 L,Petrol,Manual,Available in 6 colors,"Pure Grey with Black roof (#aaabb0, #0e0e0e); Nitro Crimson with Black roof (#5c121e, #0e0e0e); Gold Essence with Black roof (#b9a593, #0e0e0e); Opera Blue with Black roof (#313a72, #0e0e0e); Flame Red with Black roof (#6e1618, #0e0e0e); Pristine White with Black roof (#fefefe, #0e0e0e)",N/A
Tata,Curvv 1.2 Accomplished Plus A Dark,₹20.70 L,Petrol,Manual,Available in 1 colors,Glossy Carbon Black (#565657),N/A
Tata,Curvv 1.5 Accomplished Plus A Dark,₹21.18 L,Diesel,Manual,Available in 1 colors,Glossy Carbon Black (#565657),N/A
Tata,Curvv 1.2 Smart,₹11.24 L,Petrol,Manual,Available in 2 colors,Daytona Grey (#38393b); Pristine White (#fefefe),N/A
Tata,Curvv 1.2 Creative,₹14.48 L,Petrol,Manual,Available in 5 colors,Nitro Crimson (#5c121e); Opera Blue (#313a72); Flame Red (#6e1618); Daytona Grey (#38393b); Pristine White (#fefefe),N/A
